case_id,group,allocated_images,state,decision,unresolved_reason,exact_extrema,radius,failed_images,nominal_delta,universal_bounds_lower,universal_bounds_upper,attained_bounds_lower,attained_bounds_upper
image-46,singleton,1,complete,excluded,,True,64/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-47,singleton,1,complete,excluded,,True,64/1,0,0/1,0/1,0/1,0/1,0/1
image-48,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,1/1,-1/1,3/1,-1/1,3/1
image-49,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,0/1,-2/1,2/1,-2/1,2/1
image-50,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,2/1,0/1,4/1,0/1,4/1
image-51,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,0/1,-2/1,2/1,-2/1,2/1
image-52,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,1/1,-1/1,3/1,-1/1,3/1
image-53,singleton,1,complete,excluded,,True,64/1,0,0/1,0/1,0/1,0/1,0/1
image-54,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,0/1,-2/1,2/1,-2/1,2/1
image-55,singleton,1,complete,excluded,,True,64/1,0,-2/1,-4/1,0/1,-4/1,0/1
image-56,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,0/1,-2/1,2/1,-2/1,2/1
image-57,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,2/1,0/1,4/1,0/1,4/1
image-58,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,1/1,-1/1,3/1,-1/1,3/1
image-59,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,1/1,-1/1,3/1,-1/1,3/1
image-60,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,-3/1,-5/1,1/1,-5/1,1/1
image-61,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,1/1,-3/1,1/1,-3/1,1/1
image-62,singleton,1,complete,supported,,True,64/1,0,3/1,1/1,5/1,1/1,5/1
image-63,singleton,1,complete,unresolved,opposite_worlds,True,64/1,0,-1/1,-3/1,1/1,-3/1,1/1
block-00,block,8,complete,unresolved,opposite_worlds,True,64/1,0,1/1,-1/1,3/1,-1/1,3/1
block-01,block,8,complete,unresolved,opposite_worlds,True,64/1,0,7/4,-1/4,15/4,-1/4,15/4
block-02,block,8,complete,unresolved,opposite_worlds,True,64/1,0,1/4,-1/1,7/4,-1/1,7/4
block-03,block,8,complete,unresolved,opposite_worlds,True,64/1,0,0/1,-2/1,9/4,-2/1,9/4
block-04,block,8,complete,unresolved,opposite_worlds,True,64/1,0,3/4,-1/1,5/2,-1/1,5/2
block-05,block,8,complete,unresolved,opposite_worlds,True,64/1,0,1/8,-7/8,9/8,-7/8,9/8
block-06,block,8,complete,unresolved,opposite_worlds,True,64/1,0,1/4,-3/2,2/1,-3/2,2/1
block-07,block,8,complete,unresolved,opposite_worlds,True,64/1,0,1/2,-7/4,5/2,-7/4,5/2
all-64,primary,64,complete,unresolved,opposite_worlds,True,64/1,0,37/64,-75/64,151/64,-75/64,151/64
